dobih_number,name,height_m,height_ft,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,latitude,longitude,nearest_center,min_distance_km,nearest_center_lat,nearest_center_lon
836,Mullach na Dheiragain - Carn na Con Dhu,967.0,3173.0,207271.0,824189.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.2675963127295,-5.197812130417794,Inverinate,15.987283374996055,57.2428829,-5.4596682
845,An Socach,919.7,3017.0,208816.0,822999.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.257571824037505,-5.171316892709067,Inverinate,17.421986216093675,57.2428829,-5.4596682
804,Mam Sodhail,1179.4,3869.0,212007.0,825332.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.27982052007616,-5.120273625708042,Tomich,18.728095307783683,57.3052421,-4.8121467
811,Mam Sodhail - Ciste Dhubh,1109.5,3640.0,211406.0,824632.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.27329428511909,-5.129693443381121,Tomich,19.409077897818214,57.3052421,-4.8121467
814,Mam Sodhail - Stob Coire Coulavie,1068.0,3504.0,211007.0,824041.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.267828582285404,-5.135849009589955,Inverinate,19.67258194811073,57.2428829,-5.4596682
813,Mam Sodhail - An Tudair,1073.4,3522.0,212751.0,823953.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.26775691005437,-5.106909118487877,Tomich,18.197244702098875,57.3052421,-4.8121467
817,Mam Sodhail - Creag Coire nan Each,1055.0,3461.0,211366.0,823209.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.2605142836035,-5.129272082290441,Tomich,19.69742915972518,57.3052421,-4.8121467
822,Mam Sodhail - Sgurr na Lapaich,1037.3,3403.0,215415.0,824393.0,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.27278711483609,-5.0631307177633245,Tomich,15.50736303044564,57.3052421,-4.8121467
829,Mam Sodhail - Mullach Cadha Rainich,995.6,3266.0,213961.0,824610.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.274144064202346,-5.087369802129139,Tomich,16.895465829045996,57.3052421,-4.8121467
803,Carn Eighe,1182.8,3881.0,212355.0,826197.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.287722200412134,-5.115166362739262,Tomich,18.308656849946058,57.3052421,-4.8121467
